cod_com,comuna,agno,grado,prom_nat2m_com,dif_nat2m_com,sigdif_nat2m_com
6301,San Fernando,2018,2m,241,-1,0
6113,Pichidegua,2018,2m,203,-11,0
6114,Quinta de Tilcoco,2018,2m,239,-1,0
6115,Rengo,2018,2m,241,5,0
6116,Requínoa,2018,2m,233,-13,-1
6117,San Vicente,2018,2m,241,-5,0
6107,Las Cabras,2018,2m,224,-9,0
7301,Curicó,2018,2m,252,2,0
7308,Teno,2018,2m,252,-1,0
7309,Vichuquén,2018,2m,247,19,1
7302,Hualañé,2018,2m,234,1,0
7303,Licantén,2018,2m,243,10,0
7304,Molina,2018,2m,226,-4,0
7406,San Javier,2018,2m,248,8,1
7407,Villa Alegre,2018,2m,211,8,0
7408,Yerbas Buenas,2018,2m,214,-15,-1
7201,Cauquenes,2018,2m,231,-5,0
7202,Chanco,2018,2m,212,1,0
7203,Pelluhue,2018,2m,232,21,1
7110,San Rafael,2018,2m,NA,NA,NA
7401,Linares,2018,2m,245,-2,0
7402,Colbún,2018,2m,220,8,0
7403,Longaví,2018,2m,220,-9,0
7404,Parral,2018,2m,248,-3,0
7405,Retiro,2018,2m,233,6,0
7104,Empedrado,2018,2m,223,24,1
7105,Maule,2018,2m,229,-13,-1
7106,Pelarco,2018,2m,189,-33,-1
7107,Pencahue,2018,2m,197,-21,0
7108,Río Claro,2018,2m,229,4,0
7109,San Clemente,2018,2m,222,7,0
7305,Rauco,2018,2m,201,9,0
7306,Romeral,2018,2m,224,-2,0
7307,Sagrada Familia,2018,2m,222,12,0
7101,Talca,2018,2m,241,0,0
7102,Constitución,2018,2m,252,8,0
7103,Curepto,2018,2m,228,5,0
8301,Los Ángeles,2018,2m,249,4,0
8302,Antuco,2018,2m,211,-26,-1
8303,Cabrero,2018,2m,229,8,0
8304,Laja,2018,2m,233,-1,0
8305,Mulchén,2018,2m,233,9,1
8306,Nacimiento,2018,2m,229,-5,0
8205,Curanilahue,2018,2m,224,0,0
8206,Los Álamos,2018,2m,224,6,0
8207,Tirúa,2018,2m,208,-3,0
8111,Tomé,2018,2m,230,13,1
8112,Hualpén,2018,2m,254,4,0
8201,Lebu,2018,2m,234,-2,0
8202,Arauco,2018,2m,237,8,0
8203,Cañete,2018,2m,252,14,1
8204,Contulmo,2018,2m,255,25,1
8105,Hualqui,2018,2m,218,8,0
8106,Lota,2018,2m,234,7,0
8107,Penco,2018,2m,231,3,0
8108,San Pedro de la Paz,2018,2m,267,5,0
8109,Santa Juana,2018,2m,235,0,0
8110,Talcahuano,2018,2m,243,5,0
8311,Santa Bárbara,2018,2m,234,15,1
8312,Tucapel,2018,2m,235,6,0
8101,Concepción,2018,2m,251,2,0
8102,Coronel,2018,2m,233,8,1
8103,Chiguayante,2018,2m,265,17,1
8104,Florida,2018,2m,229,7,0
8313,Yumbel,2018,2m,236,2,0
8314,Alto Biobío,2018,2m,212,7,0
8307,Negrete,2018,2m,218,2,0
8308,Quilaco,2018,2m,221,-16,0
8309,Quilleco,2018,2m,218,-6,0
8310,San Rosendo,2018,2m,250,26,1
9201,Angol,2018,2m,245,4,0
9202,Collipulli,2018,2m,235,16,1
9203,Curacautín,2018,2m,225,7,0
9204,Ercilla,2018,2m,227,-26,0
9205,Lonquimay,2018,2m,220,-4,0
9206,Los Sauces,2018,2m,208,-11,0
9118,Toltén,2018,2m,213,-6,0
